time,"Fuel economizer (based on fuel system status and throttle position) ()","Power from MAF (hp)","Давление во впускном коллекторе (абсолютное) (kPa)","Датчик кислорода 1 Блок 1 Краткосрочная коррекция (%)","Датчик кислорода 1 Блок 1 Напряжение (V)","Датчик кислорода 2 Блок 1 Краткосрочная коррекция (%)","Датчик кислорода 2 Блок 1 Напряжение (V)","Дистанция, пройденная с зажженной лампой «проверь двигатель» (km)","Долговременная коррекция - Блок 1 (%)","Использовано топлива (L)","Использовано топлива (общий) (L)","Кратковременная коррекция - Блок 1 (%)","Массовый расход воздуха (g/sec)","Мгновенный расход топлива (л/100 км) (L/100km)","Мгновенный расход топлива (л/ч) (L/h)","Моментальная мощность двигателя (от расхода топлива) (hp)","Напряжение (ELM327) (V)","Обороты двигателя (rpm)","Положение дроссельной заслонки (%)","Пройденный путь (km)","Пройденный путь (общий) (km)","Расчетное значение нагрузки на двигатель (%)","Расчетный наддув (bar)","Скорость автомобиля (km/h)","Средний расход топлива (л/100 км) (L/100km)","Средний расход топлива (л/100 км) (общий) (L/100km)","Средний расход топлива (л/100 км) 10 sec (L/100km)","Средняя скорость (km/h)","Стоимость топлива (₽)","Стоимость топлива (общий) (₽)","Температура всасываемого воздуха (℃)","Температура охлаждающей жидкости (℃)","Угол опережения зажигания (°)","Ускорение (g)",
20:37:04.614,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
20:37:05.738,-1,,,,,,,,,,,,,,,,,,7.45098039215686,,,,,,,,,,,,,,,,
20:37:06.021,,0,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,
20:37:06.399,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,,
20:37:07.196,-1,,,,,,,,,,,,,,,,,,7.45098039215686,,,,,,,,,,,,,,,,
20:37:07.264,,0,,,,,,,,0,0,,0,,0,0,,,,,,,,,,,,,0,0,,,,,
20:37:07.341,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,0,,,,,,,
20:37:07.414,-1,,,,,,,,,,,,,,,,,,7.45098039215686,,,,,,,,,,,,,,,,
20:37:07.460,,0,,,,,,,,0,0,,0,,0,0,,,,,,,,,,,,,0,0,,,,,
20:37:07.496,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,0,,,,,,,
20:37:07.566,-1,,,,,,,,,,,,,,,,,,7.45098039215686,,,,,,,,,,,,,,,,
20:37:07.613,,0,,,,,,,,0,0,,0,,0,0,,,,,,,,,,,,,0,0,,,,,
20:37:07.648,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,0,,,,,,0,
20:37:07.733,-1,,,,,,,,,,,,,,,,,,7.45098039215686,,,,,,,,,,,,,,,,
20:37:07.769,,0,,,,,,,,0,0,,0,,0,0,,,,,,,,,,,,,0,0,,,,,
20:37:07.815,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,0,,,,,,0,
20:37:07.892,-1,,,,,,,,,,,,,,,,,,7.45098039215686,,,,,,,,,,,,,,,,
20:37:07.927,,0,,,,,,,,0,0,,0,,0,0,,,,,,,,,,,,,0,0,,,,,
20:37:07.963,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,0,,,,,,0,
20:37:08.033,-1,,,,,,,,,,,,,,,,,,7.45098039215686,,,,,,,,,,,,,,,,
20:37:08.068,,0,,,,,,,,0,0,,0,,0,0,,,,,,,,,,,,,0,0,,,,,
20:37:08.093,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,0,,,,,,0,
20:37:08.166,-1,,,,,,,,,,,,,,,,,,7.45098039215686,,,,,,,,,,,,,,,,
20:37:08.201,,0,,,,,,,,0,0,,0,,0,0,,,,,,,,,,,,,0,0,,,,,
20:37:08.237,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,0,,,,,,0,
20:37:08.308,-1,,,,,,,,,,,,,,,,,,7.45098039215686,,,,,,,,,,,,,,,,
20:37:08.343,,0,,,,,,,,0,0,,0,,0,0,,,,,,,,,,,,,0,0,,,,,
20:37:08.379,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,0,,,,,,0,
20:37:08.450,-1,,,,,,,,,,,,,,,,,,7.45098039215686,,,,,,,,,,,,,,,,
20:37:08.486,,0,,,,,,,,0,0,,0,,0,0,,,,,,,,,,,,,0,0,,,,,
20:37:08.522,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,0,,,,,,0,
20:37:08.595,-1,,,,,,,,,,,,,,,,,,7.45098039215686,,,,,,,,,,,,,,,,
20:37:08.632,,0,,,,,,,,0,0,,0,,0,0,,,,,,,,,,,,,0,0,,,,,
20:37:08.668,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,0,,,,,,0,
20:37:08.741,-1,,,,,,,,,,,,,,,,,,7.45098039215686,,,,,,,,,,,,,,,,
20:37:08.777,,0,,,,,,,,0,0,,0,,0,0,,,,,,,,,,,,,0,0,,,,,
20:37:08.813,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,0,,,,,,0,
20:37:08.896,-1,,,,,,,,,,,,,,,,,,7.45098039215686,,,,,,,,,,,,,,,,
20:37:08.932,,0,,,,,,,,0,0,,0,,0,0,,,,,,,,,,,,,0,0,,,,,
20:37:08.958,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,0,,,,,,0,
20:37:09.008,-1,,,,,,,,,,,,,,,,,,7.45098039215686,,,,,,,,,,,,,,,,
20:37:09.044,,0,,,,,,,,0,0,,0,,0,0,,,,,,,,,,,,,0,0,,,,,
20:37:09.080,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,0,,,,,,0,
20:37:09.152,-1,,,,,,,,,,,,,,,,,,7.45098039215686,,,,,,,,,,,,,,,,
20:37:09.188,,0,,,,,,,,0,0,,0,,0,0,,,,,,,,,,,,,0,0,,,,,
20:37:09.224,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,0,,,,,,0,
20:37:09.297,-1,,,,,,,,,,,,,,,,,,7.45098039215686,,,,,,,,,,,,,,,,
20:37:09.333,,0,,,,,,,,0,0,,0,,0,0,,,,,,,,,,,,,0,0,,,,,
20:37:09.370,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,0,,,,,,0,
20:37:09.441,-1,,,,,,,,,,,,,,,,,,7.45098039215686,,,,,,,,,,,,,,,,
20:37:09.477,,0,,,,,,,,0,0,,0,,0,0,,,,,,,,,,,,,0,0,,,,,
20:37:09.512,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,0,,,,,,0,
20:37:09.584,-1,,,,,,,,,,,,,,,,,,7.45098039215686,,,,,,,,,,,,,,,,
