SECONDS;PID;VALUE;UNITS
28417.230925;Скорость автомобиля;0;km/h
28417.328925;Power from MAF;0;hp
28417.328925;Массовый расход воздуха;0;g/sec
28417.400925;Fuel economizer (based on fuel system status and throttle position);-1;
28417.400925;Положение дроссельной заслонки;7.45098039215686;%
28417.544925;Пройденный путь;0;km
28417.544925;Пройденный путь (общий);5.33987879191667;km
28417.544925;Скорость автомобиля;0;km/h
28417.606925;Power from MAF;0;hp
28417.606925;Массовый расход воздуха;0;g/sec
28417.606925;Мгновенный расход топлива (л/ч);0;L/h
28417.606925;Моментальная мощность двигателя (от расхода топлива);0;hp
28417.677925;Fuel economizer (based on fuel system status and throttle position);-1;
28417.677925;Положение дроссельной заслонки;7.45098039215686;%
28417.739925;Пройденный путь;0;km
28417.739925;Пройденный путь (общий);5.33987879191667;km
28417.739925;Скорость автомобиля;0;km/h
28417.739925;Средняя скорость;0;km/h
28417.776925;Power from MAF;0;hp
28417.776925;Использовано топлива;0;L
28417.776925;Использовано топлива (общий);0.838305988334731;L
28417.776925;Массовый расход воздуха;0;g/sec
28417.776925;Мгновенный расход топлива (л/ч);0;L/h
28417.776925;Моментальная мощность двигателя (от расхода топлива);0;hp
28417.776925;Средний расход топлива (л/100 км) (общий);15.6989703512321;L/100km
28417.776925;Стоимость топлива;0;₽
28417.776925;Стоимость топлива (общий);39.82;₽
28417.849925;Fuel economizer (based on fuel system status and throttle position);-1;
28417.849925;Положение дроссельной заслонки;7.45098039215686;%
28417.918925;Пройденный путь;0;km
28417.918925;Пройденный путь (общий);5.33987879191667;km
28417.918925;Скорость автомобиля;0;km/h
28417.918925;Средняя скорость;0;km/h
28417.952925;Power from MAF;0;hp
28417.952925;Использовано топлива;0;L
28417.952925;Использовано топлива (общий);0.838305988334731;L
28417.952925;Массовый расход воздуха;0;g/sec
28417.952925;Мгновенный расход топлива (л/ч);0;L/h
28417.952925;Моментальная мощность двигателя (от расхода топлива);0;hp
28417.952925;Средний расход топлива (л/100 км) (общий);15.6989703512321;L/100km
28417.952925;Стоимость топлива;0;₽
28417.952925;Стоимость топлива (общий);39.82;₽
28418.007925;Fuel economizer (based on fuel system status and throttle position);-1;
28418.007925;Положение дроссельной заслонки;7.45098039215686;%
28418.162925;Пройденный путь;0;km
28418.162925;Пройденный путь (общий);5.33987879191667;km
28418.162925;Скорость автомобиля;0;km/h
28418.162925;Средняя скорость;0;km/h
28418.162925;Ускорение;0;g
28418.198925;Power from MAF;0;hp
28418.198925;Использовано топлива;0;L
28418.198925;Использовано топлива (общий);0.838305988334731;L
28418.198925;Массовый расход воздуха;0;g/sec
28418.198925;Мгновенный расход топлива (л/ч);0;L/h
28418.198925;Моментальная мощность двигателя (от расхода топлива);0;hp
28418.198925;Средний расход топлива (л/100 км) (общий);15.6989703512321;L/100km
28418.198925;Стоимость топлива;0;₽
28418.198925;Стоимость топлива (общий);39.82;₽
28418.244925;Fuel economizer (based on fuel system status and throttle position);-1;
28418.244925;Положение дроссельной заслонки;7.45098039215686;%
28418.312925;Пройденный путь;0;km
28418.312925;Пройденный путь (общий);5.33987879191667;km
28418.312925;Скорость автомобиля;0;km/h
28418.312925;Средняя скорость;0;km/h
28418.312925;Ускорение;0;g
28418.351925;Power from MAF;0;hp
28418.351925;Использовано топлива;0;L
28418.351925;Использовано топлива (общий);0.838305988334731;L
28418.351925;Массовый расход воздуха;0;g/sec
28418.351925;Мгновенный расход топлива (л/ч);0;L/h
28418.351925;Моментальная мощность двигателя (от расхода топлива);0;hp
28418.351925;Средний расход топлива (л/100 км) (общий);15.6989703512321;L/100km
28418.351925;Стоимость топлива;0;₽
28418.351925;Стоимость топлива (общий);39.82;₽
28418.387925;Fuel economizer (based on fuel system status and throttle position);-1;
28418.387925;Положение дроссельной заслонки;7.45098039215686;%
28418.447925;Пройденный путь;0;km
28418.447925;Пройденный путь (общий);5.33987879191667;km
28418.447925;Скорость автомобиля;0;km/h
28418.447925;Средняя скорость;0;km/h
28418.447925;Ускорение;0;g
