time,"Fuel economizer (based on fuel system status and throttle position) ()","Power from MAF (hp)","Использовано топлива (L)","Использовано топлива (общий) (L)","Массовый расход воздуха (g/sec)","Мгновенный расход топлива (л/100 км) (L/100km)","Мгновенный расход топлива (л/ч) (L/h)","Моментальная мощность двигателя (от расхода топлива) (hp)","Обороты двигателя (rpm)","Положение дроссельной заслонки (%)","Пройденный путь (km)","Пройденный путь (общий) (km)","Скорость автомобиля (km/h)","Средний расход топлива (л/100 км) (L/100km)","Средний расход топлива (л/100 км) (общий) (L/100km)","Средний расход топлива (л/100 км) 10 sec (L/100km)","Средняя скорость (km/h)","Стоимость топлива (₽)","Стоимость топлива (общий) (₽)","Температура охлаждающей жидкости (℃)","Ускорение (g)",
07:53:37.231,,,,,,,,,,,,,0,,,,,,,,,
07:53:37.329,,0,,,0,,,,,,,,,,,,,,,,,
07:53:37.401,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
07:53:37.545,,,,,,,,,,,0,5.33987879191667,0,,,,,,,,,
07:53:37.607,,0,,,0,,0,0,,,,,,,,,,,,,,
07:53:37.678,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
07:53:37.740,,,,,,,,,,,0,5.33987879191667,0,,,,0,,,,,
07:53:37.777,,0,0,0.838305988334731,0,,0,0,,,,,,,15.6989703512321,,,0,39.82,,,
07:53:37.850,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
07:53:37.919,,,,,,,,,,,0,5.33987879191667,0,,,,0,,,,,
07:53:37.953,,0,0,0.838305988334731,0,,0,0,,,,,,,15.6989703512321,,,0,39.82,,,
07:53:38.008,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
07:53:38.163,,,,,,,,,,,0,5.33987879191667,0,,,,0,,,,0,
07:53:38.199,,0,0,0.838305988334731,0,,0,0,,,,,,,15.6989703512321,,,0,39.82,,,
07:53:38.245,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
07:53:38.313,,,,,,,,,,,0,5.33987879191667,0,,,,0,,,,0,
07:53:38.352,,0,0,0.838305988334731,0,,0,0,,,,,,,15.6989703512321,,,0,39.82,,,
07:53:38.388,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
07:53:38.448,,,,,,,,,,,0,5.33987879191667,0,,,,0,,,,0,
07:53:38.484,,0,0,0.838305988334731,0,,0,0,,,,,,,15.6989703512321,,,0,39.82,,,
07:53:38.508,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
07:53:38.568,,,,,,,,,,,0,5.33987879191667,0,,,,0,,,,0,
07:53:38.602,,0,0,0.838305988334731,0,,0,0,,,,,,,15.6989703512321,,,0,39.82,,,
07:53:38.636,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
07:53:38.706,,,,,,,,,,,0,5.33987879191667,0,,,,0,,,,0,
07:53:38.741,,0,0,0.838305988334731,0,,0,0,,,,,,,15.6989703512321,,,0,39.82,,,
07:53:38.776,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
07:53:38.856,,,,,,,,,,,0,5.33987879191667,0,,,,0,,,,0,
07:53:38.892,,0,0,0.838305988334731,0,,0,0,,,,,,,15.6989703512321,,,0,39.82,,,
07:53:38.929,-1,,,,,,,,,7.45098039215686,,,,,,,,,,,,
07:53:39.002,,,,,,,,,,,0,5.33987879191667,0,,,,0,,,,0,
