"SECONDS";"PID";"VALUE";"UNITS"
"32643.225139";"Скорость автомобиля";"0";"km/h"
"32643.380139";"Power from MAF";"0";"hp"
"32643.380139";"Массовый расход воздуха";"0";"g/sec"
"32643.452139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32643.452139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32643.577139";"Пройденный путь";"0";"km"
"32643.577139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32643.577139";"Скорость автомобиля";"0";"km/h"
"32643.651139";"Power from MAF";"0";"hp"
"32643.651139";"Массовый расход воздуха";"0";"g/sec"
"32643.651139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32643.651139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
"32643.712139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32643.712139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32643.785139";"Пройденный путь";"0";"km"
"32643.785139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32643.785139";"Скорость автомобиля";"0";"km/h"
"32643.785139";"Средняя скорость";"0";"km/h"
"32643.812139";"Power from MAF";"0";"hp"
"32643.812139";"Использовано топлива";"0";"L"
"32643.812139";"Использовано топлива (общий)";"1.90520123586609";"L"
"32643.812139";"Массовый расход воздуха";"0";"g/sec"
"32643.812139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32643.812139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
"32643.812139";"Средний расход топлива (л/100 км) (общий)";"17.4803863064218";"L/100km"
"32643.812139";"Стоимость топлива";"0";"₽"
"32643.812139";"Стоимость топлива (общий)";"90.5";"₽"
"32643.875139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32643.875139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32643.946139";"Пройденный путь";"0";"km"
"32643.946139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32643.946139";"Скорость автомобиля";"0";"km/h"
"32643.946139";"Средняя скорость";"0";"km/h"
"32643.982139";"Power from MAF";"0";"hp"
"32643.982139";"Использовано топлива";"0";"L"
"32643.982139";"Использовано топлива (общий)";"1.90520123586609";"L"
"32643.982139";"Массовый расход воздуха";"0";"g/sec"
"32643.982139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32643.982139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
"32643.982139";"Средний расход топлива (л/100 км) (общий)";"17.4803863064218";"L/100km"
"32643.982139";"Стоимость топлива";"0";"₽"
"32643.982139";"Стоимость топлива (общий)";"90.5";"₽"
"32644.018139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32644.018139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32644.069139";"Пройденный путь";"0";"km"
"32644.069139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32644.069139";"Скорость автомобиля";"0";"km/h"
"32644.069139";"Средняя скорость";"0";"km/h"
"32644.069139";"Ускорение";"0";"g"
"32644.107139";"Power from MAF";"0";"hp"
"32644.107139";"Использовано топлива";"0";"L"
"32644.107139";"Использовано топлива (общий)";"1.90520123586609";"L"
"32644.107139";"Массовый расход воздуха";"0";"g/sec"
"32644.107139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32644.107139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
"32644.107139";"Средний расход топлива (л/100 км) (общий)";"17.4803863064218";"L/100km"
"32644.107139";"Стоимость топлива";"0";"₽"
"32644.107139";"Стоимость топлива (общий)";"90.5";"₽"
"32644.165139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32644.165139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32644.237139";"Пройденный путь";"0";"km"
"32644.237139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32644.237139";"Скорость автомобиля";"0";"km/h"
"32644.237139";"Средняя скорость";"0";"km/h"
"32644.237139";"Ускорение";"0";"g"
"32644.267139";"Power from MAF";"0";"hp"
"32644.267139";"Использовано топлива";"0";"L"
"32644.267139";"Использовано топлива (общий)";"1.90520123586609";"L"
"32644.267139";"Массовый расход воздуха";"0";"g/sec"
"32644.267139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32644.267139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
"32644.267139";"Средний расход топлива (л/100 км) (общий)";"17.4803863064218";"L/100km"
"32644.267139";"Стоимость топлива";"0";"₽"
"32644.267139";"Стоимость топлива (общий)";"90.5";"₽"
"32644.303139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32644.303139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32644.439139";"Пройденный путь";"0";"km"
"32644.439139";"Пройденный путь (общий)";"10.8990797026389";"km"
"32644.439139";"Скорость автомобиля";"0";"km/h"
"32644.439139";"Средняя скорость";"0";"km/h"
"32644.439139";"Ускорение";"0";"g"
"32644.475139";"Power from MAF";"0";"hp"
"32644.475139";"Использовано топлива";"0";"L"
"32644.475139";"Использовано топлива (общий)";"1.90520123586609";"L"
"32644.475139";"Массовый расход воздуха";"0";"g/sec"
"32644.475139";"Мгновенный расход топлива (л/ч)";"0";"L/h"
"32644.475139";"Моментальная мощность двигателя (от расхода топлива)";"0";"hp"
"32644.475139";"Средний расход топлива (л/100 км) (общий)";"17.4803863064218";"L/100km"
"32644.475139";"Стоимость топлива";"0";"₽"
"32644.475139";"Стоимость топлива (общий)";"90.5";"₽"
"32644.512139";"Fuel economizer (based on fuel system status and throttle position)";"-1";""
"32644.512139";"Положение дроссельной заслонки";"7.45098039215686";"%"
"32644.584139";"Пройденный путь";"0";"km"
"32644.584139";"Пройденный путь (общий)";"10.8990797026389";"km"
