time,"Fuel economizer (based on fuel system status and throttle position) ()","Power from MAF (hp)","Использовано топлива (L)","Использовано топлива (общий) (L)","Массовый расход воздуха (g/sec)","Мгновенный расход топлива (л/100 км) (L/100km)","Мгновенный расход топлива (л/ч) (L/h)","Моментальная мощность двигателя (от расхода топлива) (hp)","Положение дроссельной заслонки (%)","Пройденный путь (km)","Пройденный путь (общий) (km)","Скорость автомобиля (km/h)","Средний расход топлива (л/100 км) (L/100km)","Средний расход топлива (л/100 км) (общий) (L/100km)","Средний расход топлива (л/100 км) 10 sec (L/100km)","Средняя скорость (km/h)","Стоимость топлива (₽)","Стоимость топлива (общий) (₽)","Ускорение (g)",
13:17:43.866,,,,,,,,,,,,0,,,,,,,,
13:17:43.968,,0,,,0,,,,,,,,,,,,,,,
13:17:44.015,-1,,,,,,,,7.45098039215686,,,,,,,,,,,
13:17:44.149,,,,,,,,,,0,14.1820346186667,0,,,,,,,,
13:17:44.221,,0,,,0,,0,0,,,,,,,,,,,,
13:17:44.281,-1,,,,,,,,7.45098039215686,,,,,,,,,,,
13:17:44.384,,,,,,,,,,0,14.1820346186667,0,,,,0,,,,
13:17:44.421,,0,0,2.32770765438235,0,,0,0,,,,,,16.4130727146765,,,0,110.57,,
13:17:44.514,-1,,,,,,,,7.45098039215686,,,,,,,,,,,
13:17:44.596,,,,,,,,,,0,14.1820346186667,0,,,,0,,,,
13:17:44.621,,0,0,2.32770765438235,0,,0,0,,,,,,16.4130727146765,,,0,110.57,,
13:17:44.656,-1,,,,,,,,7.45098039215686,,,,,,,,,,,
13:17:44.716,,,,,,,,,,0,14.1820346186667,0,,,,0,,,0,
13:17:44.754,,0,0,2.32770765438235,0,,0,0,,,,,,16.4130727146765,,,0,110.57,,
13:17:44.789,-1,,,,,,,,7.45098039215686,,,,,,,,,,,
13:17:44.860,,,,,,,,,,0,14.1820346186667,0,,,,0,,,0,
13:17:44.900,,0,0,2.32770765438235,0,,0,0,,,,,,16.4130727146765,,,0,110.57,,
13:17:44.935,-1,,,,,,,,7.45098039215686,,,,,,,,,,,
13:17:45.006,,,,,,,,,,0,14.1820346186667,0,,,,0,,,0,
13:17:45.042,,0,0,2.32770765438235,0,,0,0,,,,,,16.4130727146765,,,0,110.57,,
13:17:45.079,-1,,,,,,,,7.45098039215686,,,,,,,,,,,
13:17:46.438,,0,0,2.32770765438235,0,,0,0,,,,,,16.4130727146765,,,0,110.57,,
13:17:46.666,-1,,,,,,,,7.45098039215686,,,,,,,,,,,
13:17:46.985,,,,,,,,,,0,14.1820346186667,0,,,,0,,,0,
13:17:47.075,,0,0,2.32770765438235,0,,0,0,,,,,,16.4130727146765,,,0,110.57,,
13:17:47.111,-1,,,,,,,,7.45098039215686,,,,,,,,,,,
13:17:47.181,,,,,,,,,,0,14.1820346186667,0,,,,0,,,0,
13:17:47.217,,13.224,0.000145937209952474,2.3278535915923,11.02,,3.69695275370422,14.4632108067998,,,,,,16.414101743401,,,0.00693201747274252,110.57,,
13:17:47.253,-1,,,,,,,,10.1960784313725,,,,,,,,,,,
13:17:47.324,,,,,,,,,,0,14.1820346186667,0,,,,0,,,0,
13:17:47.444,,13.224,0.000378908287018917,2.32808656266937,11.02,,3.69695275370422,14.4632108067998,,,,,,16.4157444631047,,,0.0179981436333986,110.57,,
13:17:47.584,-1,,,,,,,,10.1960784313725,,,,,,,,,,,
13:17:47.663,,,,,,,,,,0,14.1820346186667,0,,,,0,,,0,
13:17:47.698,,13.224,0.00063899548560246,2.32834664986795,11.02,,3.69695275370422,14.4632108067998,,,,,,16.4175783833114,,,0.0303522855661169,110.57,,
13:17:47.733,-1,,,,,,,,10.1960784313725,,,,,,,,,,,
13:17:47.802,,,,,,,,,,0,14.1820346186667,0,,,,0,,,0,
13:17:47.837,,13.224,0.000781999779703662,2.32848965416205,11.02,,3.69695275370422,14.4632108067998,,,,,,16.4185867315346,,,0.037144989535924,110.57,,
13:17:47.872,-1,,,,,,,,10.1960784313725,,,,,,,,,,,
13:17:47.932,,,,,,,,,,0,14.1820346186667,0,,,,0,,,0,
13:17:47.967,,13.224,0.00091557992507688,2.32862323430743,11.02,,3.69695275370422,14.4632108067998,,,,,,16.4195286284413,,,0.0434900464411518,110.57,,
13:17:48.003,-1,,,,,,,,10.1960784313725,,,,,,,,,,,
13:17:48.072,,,,,,,,,,0,14.1820346186667,0,,,,0,,,0,
13:17:48.108,,13.224,0.00105999624974373,2.32876765063209,11.02,,3.69695275370422,14.4632108067998,,,,,,16.4205469331384,,,0.0503498218628273,110.57,,
13:17:48.143,-1,,,,,,,,10.1960784313725,,,,,,,,,,,
13:17:48.223,,,,,,,,,,0,14.1820346186667,0,,,,0,,,0,
13:17:48.247,,12.324,0.001193837481409,2.32890149186376,10.27,,3.44534526139223,13.4788725032517,,,,,,16.42149067101,,,0.0567072803669276,110.57,,
13:17:48.282,-1,,,,,,,,9.80392156862745,,,,,,,,,,,
13:17:48.353,,,,,,,,,,0,14.1820346186667,0,,,,0,,,0,
13:17:48.454,,12.324,0.00139179831106141,2.32909945269341,10.27,,3.44534526139223,13.4788725032517,,,,,,16.4228865273521,,,0.066110419775417,110.57,,
13:17:48.492,-1,,,,,,,,9.80392156862745,,,,,,,,,,,
13:17:48.564,,,,,,,,,,0,14.1820346186667,0,,,,0,,,0,
13:17:48.599,,12.324,0.00153078133771317,2.32923843572006,10.27,,3.44534526139223,13.4788725032517,,,,,,16.4238665209171,,,0.0727121135413755,110.57,,
13:17:48.636,-1,,,,,,,,9.80392156862745,,,,,,,,,,,
13:17:48.710,,,,,,,,,,0,14.1820346186667,0,,,,0,,,0,
13:17:48.746,,12.324,0.00167128002916783,2.32937893441152,10.27,,3.44534526139223,13.4788725032517,,,,,,16.424857201699,,,0.079385801385472,110.57,,
13:17:48.783,-1,,,,,,,,9.80392156862745,,,,,,,,,,,
13:17:48.855,,,,,,,,,,0,14.1820346186667,0,,,,0,,,0,
13:17:48.891,,12.324,0.00180945014574597,2.3295171045281,10.27,,3.44534526139223,13.4788725032517,,,,,,16.4258314632933,,,0.0859488819229336,110.57,,
